FlightNumber;Date;BoosterVersion;PayloadMass;Payload;Orbit;LaunchSite;LandingOutcome;Flights;GridFins;Reused;Legs;LandingPad;Block;Customers;Mission_Outcome;ReusedCount;Serial;Longitude;Latitude
1;04/06/2010;Falcon 9;8.191.079.109.589.040;Dragon Qualification Unit;LEO;CCSFS SLC 40;None None;1;False;False;False;;1.0;SpaceX;True;0;B0003;-80.577.366;285.618.571
2;22/05/2012;Falcon 9;525.0;COTS Demo Flight 2;LEO;CCSFS SLC 40;None None;1;False;False;False;;1.0;NASA(COTS);True;0;B0005;-80.577.366;285.618.571
3;01/03/2013;Falcon 9;677.0;CRS-2;ISS;CCSFS SLC 40;None None;1;False;False;False;;1.0;NASA (CRS);True;0;B0007;-80.577.366;285.618.571
4;29/09/2013;Falcon 9;500.0;CASSIOPE;PO;VAFB SLC 4E;False Ocean;1;False;False;False;;1.0;MDA;True;0;B1003;-120.610.829;34.632.093
5;03/12/2013;Falcon 9;3170.0;SES-8;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;SES;True;0;B1004;-80.577.366;285.618.571
6;06/01/2014;Falcon 9;3325.0;Thaicom 6;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;Thaicom;True;0;B1005;-80.577.366;285.618.571
7;18/04/2014;Falcon 9;2296.0;CRS-3;ISS;CCSFS SLC 40;True Ocean;1;False;False;True;;1.0;NASA (CRS);True;0;B1006;-80.577.366;285.618.571
8;14/07/2014;Falcon 9;1316.0;Orbcomm-OG2-M1;LEO;CCSFS SLC 40;True Ocean;1;False;False;True;;1.0;Orbcomm;True;0;B1007;-80.577.366;285.618.571
9;05/08/2014;Falcon 9;4535.0;AsiaSat 8;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;AsiaSat;True;0;B1008;-80.577.366;285.618.571
10;07/09/2014;Falcon 9;4428.0;AsiaSat 6;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;AsiaSat;True;0;B1011;-80.577.366;285.618.571
11;21/09/2014;Falcon 9;2216.0;CRS-4;ISS;CCSFS SLC 40;False Ocean;1;False;False;False;;1.0;NASA (CRS);True;0;B1010;-80.577.366;285.618.571
12;10/01/2015;Falcon 9;2395.0;CRS-5;ISS;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb761634e7cb;1.0;NASA (CRS);True;0;B1012;-80.577.366;285.618.571
13;11/02/2015;Falcon 9;570.0;DSCOVR;ES-L1;CCSFS SLC 40;True Ocean;1;True;False;True;;1.0;NASA,NOAA,USAF;True;0;B1013;-80.577.366;285.618.571
14;14/04/2015;Falcon 9;1898.0;CRS-6;ISS;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb761634e7cb;1.0;NASA (CRS);True;0;B1015;-80.577.366;285.618.571
15;27/04/2015;Falcon 9;4707.0;TürkmenÄlem 52°E / MonacoSAT;GTO;CCSFS SLC 40;None None;1;False;False;False;;1.0;Turkmenistan National Space Agency;True;0;B1016;-80.577.366;285.618.571
16;28/06/2015;Falcon 9;2477.0;CRS-7;ISS;CCSFS SLC 40;None ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;1.0;NASA (CRS);False;0;B1018;-80.577.366;285.618.571
17;22/12/2015;Falcon 9;2034.0;Orbcomm-OG2-M2;LEO;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;1.0;Orbcomm;True;0;B1019;-80.577.366;285.618.571
18;17/01/2016;Falcon 9;553.0;Jason-3;PO;VAFB SLC 4E;False ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;1.0;NASA,NOAA;True;0;B1017;-120.610.829;34.632.093
19;04/03/2016;Falcon 9;5271.0;SES-9;GTO;CCSFS SLC 40;False ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;1.0;SES;True;0;B1020;-80.577.366;285.618.571
20;08/04/2016;Falcon 9;3136.0;CRS-8;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;NASA (CRS);True;1;B1021;-80.577.366;285.618.571
21;06/05/2016;Falcon 9;4696.0;JCSAT-2B;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;SKY Perfect JSAT Group;True;0;B1022;-80.577.366;285.618.571
22;27/05/2016;Falcon 9;3100.0;Thaicom 8;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;Thaicom;True;1;B1023;-80.577.366;285.618.571
23;18/07/2016;Falcon 9;2257.0;CRS-9;ISS;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;2.0;NASA (CRS);True;1;B1025;-80.577.366;285.618.571
24;14/08/2016;Falcon 9;4600.0;JCSAT-16;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;2.0;SKY Perfect JCSAT Group;True;0;B1026;-80.577.366;285.618.571
25;01/09/2016;Falcon 9;5500.0;Amos-6;GTO;CCSFS SLC 40;None ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;3.0;Spacecom;False;0;B1028;-80.577.366;285.618.571
26;14/01/2017;Falcon 9;9600.0;Iridium NEXT 1;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;Iridium Communications;True;1;B1029;-120.610.829;34.632.093
27;19/02/2017;Falcon 9;2490.0;CRS-10;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;NASA (CRS);True;1;B1031;-806.039.558;286.080.585
28;16/03/2017;Falcon 9;5600.0;EchoStar 23;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;EchoStar;True;0;B1030;-806.039.558;286.080.585
29;30/03/2017;Falcon 9;5300.0;SES-10;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;2.0;SES;True;1;B1021;-806.039.558;286.080.585
30;01/05/2017;Falcon 9;8.191.079.109.589.040;NROL-76;LEO;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;NRO;True;1;B1032;-806.039.558;286.080.585
31;15/05/2017;Falcon 9;6070.0;Inmarsat-5 F4;GTO;KSC LC 39A;None None;1;False;False;False;;3.0;Inmarsat;True;0;B1034;-806.039.558;286.080.585
32;03/06/2017;Falcon 9;2708.0;CRS-11;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;3.0;NASA (CRS);True;1;B1035;-806.039.558;286.080.585
33;23/06/2017;Falcon 9;3669.0;BulgariaSat-1;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;3.0;Bulgaria Sat;True;1;B1029;-806.039.558;286.080.585
